Year,Social Security,Social Security (GDP),Medicare,Medicare (GDP),Medicaid,Medicaid (GDP),Income security,Income security (GDP),Major health care programs,Major health care programs (GDP),Male Total Below Poverty Percent,Male Under 18 Below Poverty Percent,Male 18 to 64 Below Poverty Percent,Male 64 and Over Below Poverty Percent,Female Total Below Poverty Percent,Female Under 18 Below Poverty Percent,Female 18 to 64 Below Poverty Percent,Female 64 and Over Below Poverty Percent,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate,All Families Below Poverty (With and Without Children) Percent,All Families Below Poverty (Without Children) Percent
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,All Races,Both Sexes,70.2,"1,309.0",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,All Races,Female,73.9,"1,055.3",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,All Races,Male,66.7,"1,624.2",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,Black,Both Sexes,64.2,"1,529.7",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,Black,Female,67.6,"1,274.6",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,Black,Male,60.9,"1,832.4",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,White,Both Sexes,71.1,"1,278.7",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,White,Female,74.8,"1,024.7",11.8,13.4
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,White,Male,67.5,"1,595.7",11.8,13.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,All Races,Both Sexes,70.5,"1,274.0",11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,All Races,Female,74.3,"1,020.5",11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,All Races,Male,67.0,"1,591.8",11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,Black,Both Sexes,64.9,"1,466.9",11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,Black,Female,68.5,"1,209.7",11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,Black,Male,61.4,"1,767.2",11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,White,Both Sexes,71.4,"1,246.4",11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,White,Female,75.2,992.9,11.4,12.4
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,White,Male,67.8,"1,566.9",11.4,12.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,All Races,Both Sexes,70.2,"1,304.5",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,All Races,Female,74.1,"1,043.5",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,All Races,Male,66.6,"1,635.2",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,Black,Both Sexes,64.1,"1,615.6",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,Black,Female,67.9,"1,325.6",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,Black,Male,60.4,"1,976.8",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,White,Both Sexes,71.1,"1,271.4",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,White,Female,75.0,"1,012.2",10.0,11.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,White,Male,67.5,"1,602.7",10.0,11.4
1969,26.7,2.7,6.3,0.6,2.3,0.2,6.5,0.7,7.7,0.8,10.6,13.9,6.9,20.5,13.6,14.0,10.2,29.4,All Races,Both Sexes,70.5,"1,271.8",9.7,10.8
1969,26.7,2.7,6.3,0.6,2.3,0.2,6.5,0.7,7.7,0.8,10.6,13.9,6.9,20.5,13.6,14.0,10.2,29.4,All Races,Female,74.4,"1,013.4",9.7,10.8
