Year,All Families Below Poverty (With and Without Children) Percent,All Families Below Poverty (Without Children) Percent
2024,8.1,11.9
2023,8.3,12.6
2022,8.8,12.7
2021,8.8,12.8
2020,8.7,13.2
2019,7.8,12.1
2018,9,13.6
2017,9.3,14.2
2016,9.8,15
2015,10.4,16.3
2014,11.6,17.6
2013,11.7,18.1
2013,11.2,16.9
2012,11.8,18.4
2011,11.8,18.5
2010,11.8,18.5
2009,11.1,17.1
2008,10.3,15.7
2007,9.8,15
2006,9.8,14.6
2005,9.9,14.5
2004,10.2,14.8
2003,10,14.8
2002,9.6,13.9
2001,9.2,13.4
2000,8.7,12.7
1999,9.3,13.8
1998,10,15.1
1997,10.3,15.7
1996,11,16.5
1995,10.8,16.3
1994,11.6,17.4
1993,12.3,18.5
1992,11.9,18
1991,11.5,17.7
1990,10.7,16.4
1989,10.3,15.5
1988,10.4,15.7
1987,10.7,16.1
1986,10.9,16.3
1985,11.4,16.7
1984,11.6,17.2
1983,12.3,17.9
1982,12.2,17.5
1981,11.2,15.9
1980,10.3,14.7
1979,9.2,12.6
1978,9.1,12.8
1977,9.3,12.9
1976,9.4,12.9
1975,9.7,13.3
1974,8.8,12.1
1973,8.8,11.4
1972,9.3,11.8
1971,10,12
1970,10.1,11.6
1969,9.7,10.8
1968,10,11.4
1967,11.4,12.4
1966,11.8,13.4
1965,13.9,15.6
1964,15,16.9
1963,15.9,17.6
1962,17.2,19.4
1961,18.1,19.9
1960,18.1,19.7
1959,18.5,20.3
