Year,Male Total Below Poverty Percent,Male Under 18 Below Poverty Percent,Male 18 to 64 Below Poverty Percent,Male 64 and Over Below Poverty Percent,Female Total Below Poverty Percent,Female Under 18 Below Poverty Percent,Female 18 to 64 Below Poverty Percent,Female 64 and Over Below Poverty Percent
2024,9.6,14.3,8.1,8.9,11.6,14.3,11,10.8
2023,10.2,15.1,8.8,8.9,11.9,15.4,11.2,10.5
2022,10.5,15,9.2,9,12.5,14.9,12,11.2
2021,10.5,14.8,9.3,8.8,12.6,15.8,11.7,11.6
2020,10.3,15.7,8.9,7.6,12.6,16.4,12,10
2019,9.4,14.4,8.1,7.2,11.5,14.5,10.8,10.3
2018,10.6,16.2,9,8.1,12.9,16.2,12.3,11.1
2017,10.9,17.1,9.3,7.6,13.6,17.6,12.8,11.2
2016,11.3,17.6,9.7,7.6,14,18.4,13.4,10.6
2015,12.2,19.5,10.5,7,14.8,19.9,14.2,10.3
2014,13.4,21.2,11.6,7.4,16.1,21.1,15.3,12.1
2013,13.2,21.5,11.2,7.5,16.3,21.5,15.4,12.3
2013,13.1,19.8,11.8,6.8,15.8,20,15.3,11.6
2012,13.6,21.3,11.9,6.6,16.3,22.3,15.4,11
2011,13.6,21.6,11.8,6.2,16.3,22.2,15.5,10.7
2010,14,22.2,12,6.7,16.3,21.9,15.5,10.7
2009,13,20.4,11.2,6.6,15.6,21,14.6,10.7
2008,12,18.8,10.1,6.7,14.4,19.2,13.2,11.9
2007,11.1,17.9,9.1,6.6,13.8,18.1,12.6,12
2006,11,17.2,9.2,6.6,13.6,17.6,12.5,11.5
2005,11.1,17.4,9.1,7.3,14.1,17.8,13,12.3
2004,11.5,17.8,9.7,7,13.9,17.8,12.9,11.9
2003,11.2,17.7,9.1,7.3,13.7,17.6,12.4,12.5
2002,10.9,16.8,8.9,7.7,13.3,16.6,12.2,12.4
2001,10.4,16.2,8.5,7,12.9,16.4,11.6,12.4
2000,9.9,16,7.8,6.8,12.6,16.3,11.3,12.1
1999,10.4,16.7,8.3,6.8,13.2,17.5,11.8,11.7
1998,11.1,18.4,8.5,7.2,14.3,19.4,12.5,12.8
1997,11.6,19.7,8.7,7,14.9,20,13.2,13.1
1996,12,20,9.2,6.8,15.4,20.9,13.5,13.6
1995,12.2,20.4,9.4,6.2,15.4,21.2,13.3,13.6
1994,12.8,21.4,9.7,7.2,16.3,22.2,14,14.9
1993,13.3,22.7,10,7.9,16.9,22.7,14.8,15.2
1992,12.9,21.9,9.6,8.8,16.6,22.8,14.2,15.8
1991,12.3,21.3,9,7.9,16,22.2,13.6,15.5
1990,11.7,20.5,8.5,7.6,15.2,20.8,12.9,15.4
1989,11.2,19.5,8.1,7.8,14.4,19.8,12.3,13.9
1988,11.5,19.8,8.4,8,14.5,19.3,12.5,14.9
1987,11.8,20.3,8.5,8.6,14.9,20.3,12.6,15.3
1986,11.8,20.5,8.5,8.4,15.2,20.4,13.1,15.2
1985,12.3,20.3,9.3,8.5,15.6,21.1,13.3,15.6
1984,12.8,20.9,9.8,8.7,15.9,22.1,13.6,15
1983,13.6,21.8,10.4,10,16.8,22.8,14.3,16.4
1982,13.4,21.9,9.9,10.4,16.5,21.9,14.1,17.5
1981,12.1,19.7,8.9,10.5,15.8,20.4,13.2,18.6
1980,11.2,18.1,7.9,10.9,14.7,18.6,12.1,19
1979,10.1,16.2,6.9,11.2,13.2,16.6,10.8,18
1978,9.6,15.5,6.6,10,13,16.4,10.7,16.7
1977,10,16,6.8,10.5,13,16.4,10.7,16.7
1976,10.1,15.8,6.9,10.8,13.4,16.3,11,17.9
1975,10.7,16.8,7.2,11.4,13.8,17.4,11.1,18.1
1974,9.8,15.4,6.5,10.8,12.5,15.3,10,17.3
1973,9.6,14.3,6.2,12.1,12.5,14.6,10,19.2
1972,10.2,14.9,6.9,13.1,13.4,15.3,10.7,22.4
1971,10.8,15,7.4,15.6,14.1,15.4,11,25.8
1970,11.1,15.2,7.1,19.1,14,14.9,10.7,28.5
1969,10.6,13.9,6.9,20.5,13.6,14,10.2,29.4
1968,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5
1967,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3
1966,13,16.6,8.4,23.5,16.3,17.8,12.1,32
