Year,Social Security,Social Security (GDP),Medicare,Medicare (GDP),Medicaid,Medicaid (GDP),Income security,Income security (GDP),Major health care programs,Major health care programs (GPD)
1962,14,2.4,0.0,0.0,0.1,0.0,6.1,1.0,0.1,0.0
1963,15.5,2.5,0.0,0.0,0.2,0.0,6.5,1.0,0.2,0.0
1964,16.2,2.5,0.0,0.0,0.2,0.0,6.4,1.0,0.2,0.0
1965,17.1,2.4,0.0,0.0,0.3,0.0,5.6,0.8,0.3,0.0
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7
1969,26.7,2.7,6.3,0.6,2.3,0.2,6.5,0.7,7.7,0.8
1970,29.6,2.8,6.8,0.6,2.7,0.3,8.2,0.8,8.6,0.8
1971,35.1,3.1,7.5,0.7,3.4,0.3,13.4,1.2,9.6,0.9
1972,39.4,3.2,8.4,0.7,4.6,0.4,16.4,1.4,11.6,1.0
1973,48.2,3.6,9.0,0.7,4.6,0.3,14.5,1.1,12.2,0.9
1974,55,3.7,10.7,0.7,5.8,0.4,17.4,1.2,14.8,1.0
1975,63.6,4.0,14.1,0.9,6.8,0.4,28.9,1.8,19.1,1.2
1976,72.7,4.1,16.9,0.9,8.6,0.5,37.6,2.1,23.6,1.3
1977,83.7,4.1,20.8,1.0,9.9,0.5,34.5,1.7,28.5,1.4
1978,92.4,4.1,24.3,1.1,10.7,0.5,32.0,1.4,32.5,1.4
1979,102.6,4.0,28.2,1.1,12.4,0.5,32.1,1.3,37.9,1.5
1980,117.1,4.2,34.0,1.2,14.0,0.5,44.3,1.6,45.0,1.6
1981,137.9,4.4,41.3,1.3,16.8,0.5,49.8,1.6,54.8,1.7
1982,153.9,4.6,49.2,1.5,17.4,0.5,53.1,1.6,62.7,1.9
1983,168.5,4.8,55.5,1.6,19.0,0.5,64.2,1.8,70.2,2.0
1984,176.1,4.5,61.1,1.5,20.1,0.5,51.8,1.3,76.1,1.9
1985,186.4,4.4,69.7,1.6,22.7,0.5,52.6,1.2,86.7,2.0
1986,196.5,4.3,74.2,1.6,25.0,0.6,54.5,1.2,93.4,2.1
1987,205.1,4.3,79.9,1.7,27.4,0.6,55.3,1.2,100.8,2.1
1988,216.8,4.2,85.7,1.7,30.5,0.6,57.5,1.1,107.4,2.1
1989,230.4,4.1,93.2,1.7,34.6,0.6,61.1,1.1,117.3,2.1
1990,246.5,4.2,107.0,1.8,41.1,0.7,68.7,1.2,136.9,2.3
1991,266.8,4.4,114.2,1.9,52.5,0.9,86.9,1.4,154.6,2.5
1992,285.2,4.4,129.4,2.0,67.8,1.1,110.8,1.7,184.0,2.9
1993,302,4.5,143.2,2.1,75.8,1.1,117.1,1.7,203.7,3.0
1994,316.9,4.4,159.6,2.2,82.0,1.1,116.1,1.6,223.9,3.1
1995,333.3,4.4,177.1,2.3,89.1,1.2,116.6,1.5,246.0,3.3
1996,347.1,4.4,191.3,2.4,92.0,1.2,121.6,1.5,263.3,3.3
1997,362.3,4.3,207.9,2.5,95.6,1.1,122.5,1.4,283.0,3.3
1998,376.1,4.2,211.0,2.4,101.2,1.1,122.1,1.4,291.5,3.3
1999,387,4.1,209.3,2.2,108.0,1.1,129.0,1.4,296.3,3.1
2000,406,4.0,216.0,2.1,117.9,1.2,133.9,1.3,313.3,3.1
2001,429.4,4.1,237.9,2.3,129.4,1.2,143.1,1.4,347.1,3.3
2002,452.1,4.2,253.7,2.3,147.5,1.4,180.3,1.7,378.9,3.5
2003,470.5,4.2,274.2,2.4,160.7,1.4,196.2,1.7,410.8,3.6
2004,491.5,4.1,297.0,2.5,176.2,1.5,190.6,1.6,445.7,3.7
2005,518.7,4.0,335.1,2.6,181.7,1.4,196.9,1.5,481.2,3.7
2006,543.9,4.0,376.8,2.8,180.6,1.3,200.0,1.5,511.0,3.7
2007,581.4,4.1,436.1,3.0,190.6,1.3,203.1,1.4,567.4,4.0
2008,612.1,4.1,456.0,3.1,201.4,1.4,260.7,1.8,594.1,4.0
2009,677.7,4.7,499.9,3.5,250.9,1.7,350.2,2.4,683.6,4.7
2010,700.8,4.7,520.5,3.5,272.8,1.8,437.3,2.9,727.1,4.9
2011,724.9,4.7,559.6,3.6,275.0,1.8,404.0,2.6,763.5,4.9
2012,767.7,4.8,551.1,3.4,250.5,1.6,353.6,2.2,725.8,4.5
2013,807.8,4.8,585.2,3.5,265.4,1.6,339.5,2.0,767.6,4.6
2014,844.9,4.8,599.8,3.4,301.5,1.7,310.9,1.8,831.0,4.8
2015,881.9,4.9,634.1,3.5,349.8,1.9,301.0,1.7,936.5,5.2
2016,910.3,4.9,692.5,3.7,368.3,2.0,303.7,1.6,"1,012.6",5.4
2017,939.2,4.8,702.3,3.6,374.7,1.9,293.8,1.5,"1,030.4",5.3
2018,982,4.8,704.5,3.4,389.2,1.9,285.2,1.4,"1,037.6",5.1
2019,"1,038.50",4.9,775.4,3.6,409.4,1.9,302.5,1.4,"1,126.5",5.3
2020,"1,089.90",5.1,912.1,4.3,458.5,2.1,"1,050.9",4.9,"1,301.6",6.1
