Year,Social_Security,Social_Security_(GDP),Medicare,Medicare_(GDP),Medicaid,Medicaid_(GDP),Income_security,Income_security_(GDP),Major_health_care_programs,Major_health_care_programs_(GDP),All_Families_Below_Poverty_(With_and_Without_Children)_Percent,All_Families_Below_Poverty_(Without_Children)_Percent,Male_Total_Below_Poverty_Percent,Male_Under_18_Below_Poverty_Percent,Male_18_to_64_Below_Poverty_Percent,Male_64_and_Over_Below_Poverty_Percent,Female_Total_Below_Poverty_Percent,Female_Under_18_Below_Poverty_Percent,Female_18_to_64_Below_Poverty_Percent,Female_64_and_Over_Below_Poverty_Percent,Age-adjusted_Death_Rate_AllRaces_BothSexes,Age-adjusted_Death_Rate_AllRaces_Female,Age-adjusted_Death_Rate_AllRaces_Male,Age-adjusted_Death_Rate_Black_BothSexes,Age-adjusted_Death_Rate_Black_Female,Age-adjusted_Death_Rate_Black_Male,Age-adjusted_Death_Rate_White_BothSexes,Age-adjusted_Death_Rate_White_Female,Age-adjusted_Death_Rate_White_Male,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,Average_Life_Expectancy_(Years)_AllRaces_Female,Average_Life_Expectancy_(Years)_AllRaces_Male,Average_Life_Expectancy_(Years)_Black_BothSexes,Average_Life_Expectancy_(Years)_Black_Female,Average_Life_Expectancy_(Years)_Black_Male,Average_Life_Expectancy_(Years)_White_BothSexes,Average_Life_Expectancy_(Years)_White_Female,Average_Life_Expectancy_(Years)_White_Male
1966,20.3,2.6,0.0,0.0,0.8,0.1,5.2,0.7,0.8,0.1,11.8,13.4,13.0,16.6,8.4,23.5,16.3,17.8,12.1,32.0,1309.0,1055.3,1624.2,1529.7,1274.6,1832.4,1278.7,1024.7,1595.7,70.2,73.9,66.7,64.2,67.6,60.9,71.1,74.8,67.5
1967,21.3,2.5,3.2,0.4,1.2,0.1,5.2,0.6,3.7,0.4,11.4,12.4,12.5,15.2,7.5,22.1,15.8,15.7,11.3,32.3,1274.0,1020.5,1591.8,1466.9,1209.7,1767.2,1246.4,992.9,1566.9,70.5,74.3,67.0,64.9,68.5,61.4,71.4,75.2,67.8
1968,23.3,2.6,5.1,0.6,1.8,0.2,5.9,0.7,6.2,0.7,10.0,11.4,11.3,15.1,7.2,20.3,14.3,15.6,10.8,28.5,1304.5,1043.5,1635.2,1615.6,1325.6,1976.8,1271.4,1012.2,1602.7,70.2,74.1,66.6,64.1,67.9,60.4,71.1,75.0,67.5
1969,26.7,2.7,6.3,0.6,2.3,0.2,6.5,0.7,7.7,0.8,9.7,10.8,10.6,13.9,6.9,20.5,13.6,14.0,10.2,29.4,1271.8,1013.4,1601.4,1570.4,1274.9,1934.4,1240.2,984.2,1570.4,70.5,74.4,66.8,64.5,68.6,60.6,71.4,75.3,67.7
1970,29.6,2.8,6.8,0.6,2.7,0.3,8.2,0.8,8.6,0.8,10.1,11.6,11.1,15.2,7.1,19.1,14.0,14.9,10.7,28.5,1222.6,971.4,1542.1,1518.1,1228.7,1873.9,1193.3,944.0,1513.7,70.8,74.7,67.1,64.1,68.3,60.0,71.7,75.6,68.0
1971,35.1,3.1,7.5,0.7,3.4,0.3,13.4,1.2,9.6,0.9,10.0,12.0,10.8,15.0,7.4,15.6,14.1,15.4,11.0,25.8,1213.1,960.6,1542.5,1481.3,1196.8,1836.1,1183.8,933.4,1514.4,71.1,75.0,67.4,64.6,68.9,60.5,72.0,75.8,68.3
1972,39.4,3.2,8.4,0.7,4.6,0.4,16.4,1.4,11.6,1.0,9.3,11.8,10.2,14.9,6.9,13.1,13.4,15.3,10.7,22.4,1214.8,958.7,1551.1,1486.3,1181.2,1871.8,1185.3,932.9,1520.2,71.2,75.1,67.4,64.7,69.1,60.4,72.0,75.9,68.3
1973,48.2,3.6,9.0,0.7,4.6,0.3,14.5,1.1,12.2,0.9,8.8,11.4,9.6,14.3,6.2,12.1,12.5,14.6,10.0,19.2,1201.2,947.8,1537.5,1473.3,1179.7,1849.5,1171.5,921.4,1507.2,71.4,75.3,67.6,65.0,69.3,60.9,72.2,76.1,68.5
1974,55.0,3.7,10.7,0.7,5.8,0.4,17.4,1.2,14.8,1.0,8.8,12.1,9.8,15.4,6.5,10.8,12.5,15.3,10.0,17.3,1151.8,907.5,1478.5,1397.7,1109.7,1769.5,1125.2,884.2,1450.8,72.0,75.9,68.2,66.0,70.3,61.7,72.8,76.7,69.0
1975,63.6,4.0,14.1,0.9,6.8,0.4,28.9,1.8,19.1,1.2,9.7,13.3,10.7,16.8,7.2,11.4,13.8,17.4,11.1,18.1,1094.4,855.1,1417.4,1327.5,1042.4,1697.0,1069.4,834.1,1391.1,72.6,76.6,68.8,66.8,71.3,62.4,73.4,77.3,69.5
