Year,Outcome,Forecast
2018,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.62830139770324
2019,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.65598816882019
2020,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.68307366130787
2021,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.70957093324333
2022,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.73549275911897
2023,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.76085163600122
2024,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.78565978955547
2025,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.80992917994008
2026,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.83367150757253
2027,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.8568982187702
2018,Age-adjusted_Death_Rate_AllRaces_BothSexes,725.4098349485704
2019,Age-adjusted_Death_Rate_AllRaces_BothSexes,718.960549462149
2020,Age-adjusted_Death_Rate_AllRaces_BothSexes,712.5518860528563
2021,Age-adjusted_Death_Rate_AllRaces_BothSexes,706.1835888546506
2022,Age-adjusted_Death_Rate_AllRaces_BothSexes,699.8554036131119
2023,Age-adjusted_Death_Rate_AllRaces_BothSexes,693.5670776752912
2024,Age-adjusted_Death_Rate_AllRaces_BothSexes,687.3183599796231
2025,Age-adjusted_Death_Rate_AllRaces_BothSexes,681.1090010459021
2026,Age-adjusted_Death_Rate_AllRaces_BothSexes,674.9387529653226
2027,Age-adjusted_Death_Rate_AllRaces_BothSexes,668.8073693905802
2018,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,9.069210869027847
2019,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.998669994689045
2020,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.977109122513124
2021,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.970519025447503
2022,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.968504757240728
2023,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967889094623255
2024,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967700916873499
2025,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967643400200409
2026,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967625820185303
2027,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967620446840245
2018,Male_64_and_Over_Below_Poverty_Percent,7.6925981800929035
2019,Male_64_and_Over_Below_Poverty_Percent,7.77617600314718
2020,Male_64_and_Over_Below_Poverty_Percent,7.851612178021066
2021,Male_64_and_Over_Below_Poverty_Percent,7.9196998150477915
2022,Male_64_and_Over_Below_Poverty_Percent,7.981154764528376
2023,Male_64_and_Over_Below_Poverty_Percent,8.03662314293867
2024,Male_64_and_Over_Below_Poverty_Percent,8.086688125978638
2025,Male_64_and_Over_Below_Poverty_Percent,8.131876079883689
2026,Male_64_and_Over_Below_Poverty_Percent,8.172662095460582
2027,Male_64_and_Over_Below_Poverty_Percent,8.209474983030884
2018,Female_64_and_Over_Below_Poverty_Percent,11.21078266070503
2019,Female_64_and_Over_Below_Poverty_Percent,11.220951672701933
2020,Female_64_and_Over_Below_Poverty_Percent,11.230541959164801
2021,Female_64_and_Over_Below_Poverty_Percent,11.23958645576564
2022,Female_64_and_Over_Below_Poverty_Percent,11.24811622378449
2023,Female_64_and_Over_Below_Poverty_Percent,11.256160556782374
2024,Female_64_and_Over_Below_Poverty_Percent,11.263747081203421
2025,Female_64_and_Over_Below_Poverty_Percent,11.270901851251637
2026,Female_64_and_Over_Below_Poverty_Percent,11.277649438368186
2027,Female_64_and_Over_Below_Poverty_Percent,11.284013015616456
