Year,life_expectancy_All_Races_Both_Sexes,life_expectancy_All_Races_Female,life_expectancy_All_Races_Male,life_expectancy_Black_Both_Sexes,life_expectancy_Black_Female,life_expectancy_Black_Male,life_expectancy_White_Both_Sexes,life_expectancy_White_Female,life_expectancy_White_Male,death_rate_All_Races_Both_Sexes,death_rate_All_Races_Female,death_rate_All_Races_Male,death_rate_Black_Both_Sexes,death_rate_Black_Female,death_rate_Black_Male,death_rate_White_Both_Sexes,death_rate_White_Female,death_rate_White_Male
1970,70.8,74.7,67.1,64.1,68.3,60.0,71.7,75.6,68.0,"1,222.6",971.4,"1,542.1","1,518.1","1,228.7","1,873.9","1,193.3",944.0,"1,513.7"
1971,71.1,75.0,67.4,64.6,68.9,60.5,72.0,75.8,68.3,"1,213.1",960.6,"1,542.5","1,481.3","1,196.8","1,836.1","1,183.8",933.4,"1,514.4"
1972,71.2,75.1,67.4,64.7,69.1,60.4,72.0,75.9,68.3,"1,214.8",958.7,"1,551.1","1,486.3","1,181.2","1,871.8","1,185.3",932.9,"1,520.2"
1973,71.4,75.3,67.6,65.0,69.3,60.9,72.2,76.1,68.5,"1,201.2",947.8,"1,537.5","1,473.3","1,179.7","1,849.5","1,171.5",921.4,"1,507.2"
1974,72.0,75.9,68.2,66.0,70.3,61.7,72.8,76.7,69.0,"1,151.8",907.5,"1,478.5","1,397.7","1,109.7","1,769.5","1,125.2",884.2,"1,450.8"
1975,72.6,76.6,68.8,66.8,71.3,62.4,73.4,77.3,69.5,"1,094.4",855.1,"1,417.4","1,327.5","1,042.4","1,697.0","1,069.4",834.1,"1,391.1"
1976,72.9,76.8,69.1,67.2,71.6,62.9,73.6,77.5,69.9,"1,084.1",849.4,"1,404.3","1,311.2","1,031.2","1,676.0","1,060.0",828.9,"1,379.5"
1977,73.3,77.2,69.5,67.7,72.0,63.4,74.0,77.9,70.2,"1,051.6",820.7,"1,369.3","1,286.0","1,012.2","1,647.9","1,027.1",799.7,"1,343.5"
1978,73.5,77.3,69.6,68.1,72.4,63.7,74.1,78.0,70.4,"1,043.7",816.4,"1,358.1","1,267.7",995.1,"1,626.9","1,020.1",796.6,"1,332.5"
1979,73.9,77.8,70.0,68.5,72.9,64.0,74.6,78.4,70.8,"1,010.6",789.9,"1,316.2","1,238.5",967.1,"1,601.5",986.8,770.1,"1,289.5"
