Year,Outcome,Forecast
2018,Social_Security,970.4798236838969
2019,Social_Security,1001.5024457316645
2020,Social_Security,1032.2699810107742
2021,Social_Security,1062.784526998978
2022,Social_Security,1093.0481639272962
2023,Social_Security,1123.0629549218313
2024,Social_Security,1152.8309461444146
2025,Social_Security,1182.3541669320969
2026,Social_Security,1211.6346299354918
2027,Social_Security,1240.674331255982
2018,Social_Security_(GDP),4.780682784448948
2019,Social_Security_(GDP),4.767332835850409
2020,Social_Security_(GDP),4.758106810126741
2021,Social_Security_(GDP),4.751730789273515
2022,Social_Security_(GDP),4.747324380366972
2023,Social_Security_(GDP),4.7442791520186605
2024,Social_Security_(GDP),4.742174622936126
2025,Social_Security_(GDP),4.740720202395976
2026,Social_Security_(GDP),4.739715065843021
2027,Social_Security_(GDP),4.739020425288796
2018,Medicare,728.4493909979452
2019,Medicare,754.1646968826648
2020,Medicare,779.4531235537353
2021,Medicare,804.3217572913615
2022,Medicare,828.777566742081
2023,Medicare,852.8274048715076
2024,Medicare,876.4780108846569
2025,Medicare,899.7360121143953
2026,Medicare,922.60792587854
2027,Medicare,945.1001613061306
2018,Medicare_(GDP),3.660107567224281
2019,Medicare_(GDP),3.720211087492272
2020,Medicare_(GDP),3.78031056107645
2021,Medicare_(GDP),3.840405988249272
2022,Medicare_(GDP),3.9004973692831766
2023,Medicare_(GDP),3.9605847044505853
2024,Medicare_(GDP),4.0206679940239
2025,Medicare_(GDP),4.080747238275505
2026,Medicare_(GDP),4.140822437477766
2027,Medicare_(GDP),4.20089359190303
2018,Medicaid,377.8428777686554
2019,Medicaid,379.47536273097063
2020,Medicaid,380.32331398722505
2021,Medicaid,380.7637599022451
2022,Medicaid,380.9925379158715
2023,Medicaid,381.1113706209414
2024,Medicaid,381.17309513533155
2025,Medicaid,381.20515630632366
2026,Medicaid,381.22180963596975
2027,Medicaid,381.23045976881644
2018,Medicaid_(GDP),1.8716322384358028
2019,Medicaid_(GDP),1.8642660666909643
2020,Medicaid_(GDP),1.8623533149198503
2021,Medicaid_(GDP),1.8618566363920297
2022,Medicaid_(GDP),1.8617276653651962
2023,Medicaid_(GDP),1.8616941758446497
2024,Medicaid_(GDP),1.8616854797210787
2025,Medicaid_(GDP),1.8616832216246972
2026,Medicaid_(GDP),1.861682635271568
2027,Medicaid_(GDP),1.8616824830150058
2018,Income_security,285.81571679415765
2019,Income_security,284.3706966234909
2020,Income_security,284.1091724215305
2021,Income_security,284.06184096581836
2022,Income_security,284.05327477315615
2023,Income_security,284.05172443721943
2024,Income_security,284.0514438526457
2025,Income_security,284.0513930715852
2026,Income_security,284.05138388107247
2027,Income_security,284.05138221774513
2018,Income_security_(GDP),1.4735013143564544
2019,Income_security_(GDP),1.4750685857930483
2020,Income_security_(GDP),1.4749758891291833
2021,Income_security_(GDP),1.474981371696715
2022,Income_security_(GDP),1.4749810474288776
2023,Income_security_(GDP),1.4749810666077805
2024,Income_security_(GDP),1.4749810654734394
2025,Income_security_(GDP),1.4749810655405302
2026,Income_security_(GDP),1.474981065536562
2027,Income_security_(GDP),1.4749810655367968
2018,Major_health_care_programs_(GDP),5.269009499591389
2019,Major_health_care_programs_(GDP),5.255807745712365
2020,Major_health_care_programs_(GDP),5.250183883458307
2021,Major_health_care_programs_(GDP),5.247788154304254
2022,Major_health_care_programs_(GDP),5.246767589091185
2023,Major_health_care_programs_(GDP),5.246332834873512
2024,Major_health_care_programs_(GDP),5.24614763237262
2025,Major_health_care_programs_(GDP),5.2460687372982475
2026,Major_health_care_programs_(GDP),5.246035128503927
2027,Major_health_care_programs_(GDP),5.246020811373679
2018,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,9.069210869027847
2019,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.998669994689045
2020,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.977109122513124
2021,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.970519025447503
2022,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.968504757240728
2023,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967889094623255
2024,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967700916873499
2025,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967643400200409
2026,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967625820185303
2027,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,8.967620446840245
2018,All_Families_Below_Poverty_(Without_Children)_Percent,13.87649380760631
2019,All_Families_Below_Poverty_(Without_Children)_Percent,13.766048392331085
2020,All_Families_Below_Poverty_(Without_Children)_Percent,13.72834219058867
2021,All_Families_Below_Poverty_(Without_Children)_Percent,13.715469246552951
2022,All_Families_Below_Poverty_(Without_Children)_Percent,13.71107440749494
2023,All_Families_Below_Poverty_(Without_Children)_Percent,13.709574003990333
2024,All_Families_Below_Poverty_(Without_Children)_Percent,13.709061764373155
2025,All_Families_Below_Poverty_(Without_Children)_Percent,13.708886885132603
2026,All_Families_Below_Poverty_(Without_Children)_Percent,13.708827181143004
2027,All_Families_Below_Poverty_(Without_Children)_Percent,13.708806798126913
2018,Male_Total_Below_Poverty_Percent,10.751887340478362
2019,Male_Total_Below_Poverty_Percent,10.699724741629991
2020,Male_Total_Below_Poverty_Percent,10.681354018105047
2021,Male_Total_Below_Poverty_Percent,10.674884181665131
2022,Male_Total_Below_Poverty_Percent,10.672605622331176
2023,Male_Total_Below_Poverty_Percent,10.671803154960235
2024,Male_Total_Below_Poverty_Percent,10.67152054047141
2025,Male_Total_Below_Poverty_Percent,10.671421008761854
2026,Male_Total_Below_Poverty_Percent,10.671385955494596
2027,Male_Total_Below_Poverty_Percent,10.671373610368095
2018,Male_Under_18_Below_Poverty_Percent,17.022008015652688
2019,Male_Under_18_Below_Poverty_Percent,17.00187640420498
2020,Male_Under_18_Below_Poverty_Percent,16.996679949942752
2021,Male_Under_18_Below_Poverty_Percent,16.995338619817762
2022,Male_Under_18_Below_Poverty_Percent,16.994992390174737
2023,Male_Under_18_Below_Poverty_Percent,16.994903019956716
2024,Male_Under_18_Below_Poverty_Percent,16.994879951348842
2025,Male_Under_18_Below_Poverty_Percent,16.994873996784996
2026,Male_Under_18_Below_Poverty_Percent,16.99487245976851
2027,Male_Under_18_Below_Poverty_Percent,16.994872063027497
2018,Male_18_to_64_Below_Poverty_Percent,9.141822677256483
2019,Male_18_to_64_Below_Poverty_Percent,9.079528762583731
2020,Male_18_to_64_Below_Poverty_Percent,9.054995967756065
2021,Male_18_to_64_Below_Poverty_Percent,9.045334381624931
2022,Male_18_to_64_Below_Poverty_Percent,9.04152942392545
2023,Male_18_to_64_Below_Poverty_Percent,9.040030942941236
2024,Male_18_to_64_Below_Poverty_Percent,9.039440806220306
